project,pr_name,pr_base_branch,build_id,build_duration,build_timestamp,build_result,build_head_sha,ts_duration,passcount,failcount,skipcount,build_date,trunk_sha,trunk_sha_source,stage_id,stage_duration_by_suite_sum,stage_duration_by_method_sum,num_pass_class,num_fail_class,num_trans_class,num_pass_method,num_fail_method
hadoop,PR-3047,trunk,2,5729.0,1621934125.0,FAILURE,77da40b8bb6f84c78d3a970bb5a71db7e94f462f,1018.65497,72,0,0,2021-05-25,996d31f2dcec3a050d607d3b3264525c9f73a5d5,build_log,single,4084.579,830.332,18,0,0,72,0
hadoop,PR-2951,trunk,1,5130.0,1621946202.0,FAILURE,4df9782c1d706327e928596f3830a80c0a251937,423.978,414,0,0,2021-05-25,2541efa496ba0e7e096ee5ec3c08d64b62036402,build_log,single,5321.126,411.167,50,0,0,414,0
hadoop,PR-2948,trunk,1,30026.0,1621946206.0,FAILURE,d41521ea149701b30b0acc82ab1827160a523622,40859.52,6457,14,23,2021-05-25,2541efa496ba0e7e096ee5ec3c08d64b62036402,build_log,single,737464.0090000001,38869.677,722,12,6,6457,14
hadoop,PR-3048,trunk,3,11745.0,1622004944.0,FAILURE,ddb8f39f988a901933342709525e65d965117d6b,1463.9733,4482,0,174,2021-05-26,c4581827a92d9715ad1f11eb4012e4d537bb4046,build_log,single,21849.671,1374.706,501,0,0,4482,0
hadoop,PR-2816,trunk,7,11821.0,1622566558.0,FAILURE,cdc9075519c8dd948e15032460ddb92ec063448e,1432.472,4483,0,174,2021-06-01,2707f69251dbfec6448c6b23e0ad086bdb648878,build_log,single,21277.011,1345.3650000000002,502,0,0,4483,0
hadoop,PR-3076,trunk,1,11420.0,1622746672.0,SUCCESS,be7784f129795b478f8b0f5de60f71542367007c,1438.929,4490,0,174,2021-06-03,200eec8f2eaab29e2feddc7c3d38ab8f215bd36d,build_log,single,21429.916,1352.343,503,0,0,4490,0
hadoop,PR-3089,trunk,1,11265.0,1623231808.0,FAILURE,78e0f1938b3944905cf85817707952201288bfd8,1412.9973,4489,0,174,2021-06-09,b3c72545633ddb0758e06d268b6cbd61ad295f4e,build_log,single,21067.793,1332.514,502,0,0,4489,0
hadoop,PR-3092,trunk,1,51630.0,1623317592.0,FAILURE,348f52ec7f2ce41ca229433cfa256ab6043989e8,74004.875,1817,2166,9,2021-06-10,9a17f9713376b23fb3dfeb898282dbfd61c64962,build_log,single,855685.247,30339.076,216,502,500,1817,2166
hadoop,PR-3094,trunk,1,6891.0,1623330074.0,SUCCESS,224386e9d3f312e033d60546b447b183d761a520,1595.204,360,0,1,2021-06-10,9a17f9713376b23fb3dfeb898282dbfd61c64962,build_log,single,44866.134,1563.694,36,0,0,360,0
hadoop,PR-3094,trunk,2,6200.0,1623330104.0,SUCCESS,6b2a3fa3ccc969f643546f7e8e4e6116ac08c9fa,1608.465,360,0,1,2021-06-10,9a17f9713376b23fb3dfeb898282dbfd61c64962,build_log,single,45063.08699999999,1577.1609999999998,36,0,0,360,0
hadoop,PR-3091,trunk,2,20195.0,1623397849.0,FAILURE,917dc482186cc690a16304032aedb194cf9dc1ed,25315.836,6629,5,22,2021-06-11,6e5692e7e221a22a86257ba5f85746102528e96d,build_log,single,423354.867,24430.828,740,2,495,6629,5
hadoop,PR-3105,trunk,1,18991.0,1623728552.0,FAILURE,06790eacf1e3d2ebd2ff245fedda54e361431937,24432.184,6658,0,24,2021-06-14,c1bf3cb0daf0b6212aebb449c97b772af2133d98,build_log,single,409183.389,23415.152,746,0,5,6658,0
hadoop,PR-2816,trunk,8,11715.0,1623743605.0,FAILURE,5c02f36f1db27313fa16c131723f8971dd264e72,1434.7915,4490,0,174,2021-06-15,839fcf7682270bc6ba151875549d64d81917f425,build_log,single,21611.057,1347.827,503,0,0,4490,0
hadoop,PR-2816,trunk,9,12124.0,1623744325.0,FAILURE,310e46e4d63f550af3bb47d5c79b367069f0616a,1457.4742,4490,0,174,2021-06-15,839fcf7682270bc6ba151875549d64d81917f425,build_log,single,21643.701,1365.782,503,0,0,4490,0
hadoop,PR-3105,trunk,2,19014.0,1623759743.0,FAILURE,417e6e97aba14db285cb401a87a888018684946b,24322.643,6659,1,22,2021-06-15,839fcf7682270bc6ba151875549d64d81917f425,build_log,single,404396.007,23295.892,745,1,1,6659,1
hadoop,PR-3105,trunk,3,27082.0,1623830729.0,FAILURE,ef6ecb7d8f7f3b2ebbd25440c1b701960b69b85e,37881.99,6607,8,22,2021-06-16,9a6a11c4522f34fa4245983d8719675036879d7a,build_log,single,702823.8740000001,35947.19500000001,737,7,8,6607,8
hadoop,PR-3105,trunk,4,30484.0,1623830801.0,FAILURE,18541b36acd84d9443afc0611df7a83eae78b6b8,42173.68,6465,14,22,2021-06-16,9a6a11c4522f34fa4245983d8719675036879d7a,build_log,single,763426.3200000001,39810.898,724,12,7,6465,14
hadoop,PR-3108,trunk,1,10738.0,1623832380.0,FAILURE,467c68d288a3cd80c83f018f71bbfbf698e484ac,1431.5884,4490,0,174,2021-06-16,9a6a11c4522f34fa4245983d8719675036879d7a,build_log,single,21462.773,1346.156,502,0,0,4490,0
hadoop,PR-3108,trunk,2,10689.0,1623844200.0,SUCCESS,a76451cdbc54365f75ed257759bb87b423cb3d7e,1417.0372,4490,0,174,2021-06-16,2b304ad6457bca4286be18f689f8b855395831c6,build_log,single,21166.054,1331.947,502,0,0,4490,0
hadoop,PR-3076,trunk,2,12903.0,1623881770.0,SUCCESS,1ab84de558f853424fad2ef220633c21f271c65d,1629.1086,4491,0,174,2021-06-16,65623917377db409fa5ff813b9794f279511ce6e,build_log,single,24315.278,1520.14,503,0,0,4491,0
hadoop,PR-1953,trunk,6,42371.0,1623982858.0,FAILURE,0f8a6559413ddd0b6df9e434062f7edd46a75215,43693.773,11563,10,204,2021-06-17,51991c4907262716e522e327edf96bea1fd3c494,build_log,single,742984.6309999999,41409.762,1279,10,4,11563,10
hadoop,PR-3086,trunk,5,67484.0,1624360847.0,FAILURE,edef71f0d801b0eeca795fb88b707e7fc6f72970,53930.703,22900,8,1175,2021-06-22,10b79a26fe0677b266acf237e8458e93743424a6,build_log,single,930549.456,50407.639,2815,8,15,22900,8
hadoop,PR-3086,trunk,6,66589.0,1624531176.0,FAILURE,cc9d7d9314d2e88526ef6d3b435b0f4c32355ffe,53870.355,22912,4,1175,2021-06-24,f78b6d47f9d5c05bd990aec3481e6cede93d43ea,build_log,single,930361.98,50327.764,2820,4,5,22912,4
hadoop,PR-3143,trunk,1,5914.0,1624603734.0,FAILURE,5b406f27919503c7b041d31d9d69349b217a8fc1,1167.0916,1163,0,53,2021-06-25,0934e783cf687eee4f5f23e65500b91d18b96f65,build_log,single,23937.632,1147.9630000000002,149,0,0,1163,0
hadoop,PR-3143,trunk,2,6382.0,1624609570.0,FAILURE,55a7a475ebe4ddc1c678d22d7f2e63213c7e3c44,1177.1299,1163,0,53,2021-06-25,0934e783cf687eee4f5f23e65500b91d18b96f65,build_log,single,24010.365,1157.111,149,0,0,1163,0
hadoop,PR-3143,trunk,3,5914.0,1624609920.0,FAILURE,6c9a6812ae6a3f122a5c5bdf129e731d9e16b3e2,1160.1389,1163,0,53,2021-06-25,0934e783cf687eee4f5f23e65500b91d18b96f65,build_log,single,23763.336000000003,1141.288,149,0,0,1163,0
hadoop,PR-3154,trunk,1,13258.0,1624871534.0,SUCCESS,1f43d9550c05d835dbc78234a075f2b05e44af17,1993.549,799,0,1,2021-06-28,6b4987f09cbc53e00e85cb82ad97505858cada11,build_log,single,49461.463,1950.905,93,0,0,799,0
hadoop,PR-3023,trunk,1,10644.0,1624899289.0,SUCCESS,48a439494ba7ca181237e0271f41b28ef477683b,1421.0765,4490,0,174,2021-06-28,dc6f456e953e685370277d3d6bf3515b5001bca3,build_log,single,21361.521,1335.235,502,0,0,4490,0
hadoop,PR-3157,trunk,1,7145.0,1624979001.0,SUCCESS,19bafdb5999d4bc2f25cc0eb47c11c53b77f941b,1989.2961,354,0,0,2021-06-29,95454d821c6e4c08d49df195d7c1e0ea1aacafb9,build_log,single,26450.832,1744.37,33,0,0,354,0
hadoop,PR-1722,trunk,1,10143.0,1625015795.0,FAILURE,3ee32cdac7240852d0ca5c11ce783e8b45eb06af,1429.7389,4489,0,174,2021-06-29,95454d821c6e4c08d49df195d7c1e0ea1aacafb9,build_log,single,21412.441,1345.138,502,0,0,4489,0
hadoop,PR-3157,trunk,2,6931.0,1625016625.0,SUCCESS,dec16d91bb5b14f484f0b4c9f66683c519f53392,1997.5709,354,0,0,2021-06-29,95454d821c6e4c08d49df195d7c1e0ea1aacafb9,build_log,single,26384.905999999995,1750.93,33,0,0,354,0
hadoop,PR-3076,trunk,3,11343.0,1625089014.0,SUCCESS,efdfacb073f8f1af6ae330def5ee2c65337f433c,1414.8805,4491,0,174,2021-06-30,d2e70034005b16b151e9ca9a43b1ac5893512a98,build_log,single,21190.185,1334.321,503,0,0,4491,0
hadoop,PR-3162,trunk,1,5378.0,1625122440.0,FAILURE,e3b24abad215909f386ea5c38574948895069b4e,99.002,371,0,0,2021-07-01,56c7ada7a524812208a2112412a757ec6be02e5e,build_log,single,1087.794,92.801,49,0,0,371,0
hadoop,PR-2260,trunk,10,26914.0,1626121673.0,SUCCESS,541e432b56f07c775db81f472cb28f0f1b4bdca6,26593.242,11128,0,197,2021-07-12,c81f82e21d137b6d45c20c481e7bbc6160d72f94,build_log,single,440515.597,25562.538,1245,0,1,11128,0
hadoop,PR-2260,trunk,11,27585.0,1626131259.0,FAILURE,824c4c025c21e7ea1072dec9558529c3806f52f7,26915.701,11142,1,198,2021-07-12,d0ee065cc4011453848a8cb3e104478dc32d0a09,build_log,single,431564.075,25421.182,1246,1,2,11142,1
hadoop,PR-3216,trunk,1,8895.0,1626736353.0,FAILURE,2580911a42b288ff847113d330a9553b7e2d7982,251.91501,915,0,7,2021-07-19,0ac443b1f8c9412b9778a9b163bdde9b84d1e8c5,build_log,single,2268.596,238.568,141,0,0,915,0
hadoop,PR-3216,trunk,2,8833.0,1626771081.0,FAILURE,8b22793f5367719712d67898dd3100dc0fc170a8,251.78598,915,0,7,2021-07-20,e1d00addb5b6d7240884536aaa57846af34a0dd5,build_log,single,2279.829,238.482,141,0,0,915,0
hadoop,PR-3218,branch-2.10,1,10348.0,1626773491.0,FAILURE,05f77fd2a53c0f0d3806adaa0ffbde88354ff4a9,15477.261,8336,3,112,2021-07-20,39c8297350e2fe5dbe2c1965ad8c3bcea671a592,build_log,single,208421.241,14687.615,1031,2,4,8336,3
hadoop,PR-3216,trunk,3,9202.0,1627288919.0,FAILURE,36da4023e96c704b8a3b6765e3b0c6f03150fc09,252.16791,915,0,7,2021-07-26,d710ec8d85692e4c2f915db1474b15dba84af666,build_log,single,2284.888,238.844,141,0,0,915,0
hadoop,PR-3391,branch-3.3.1,1,10245.0,1630992829.0,SUCCESS,05068b0a46c6967ef2156ccb01634fc19d9a9a40,1548.452,4420,0,192,2021-09-07,a3b9c37a397ad4188041dd80621bdeefc46885f2,build_log,single,22871.068,1444.853,498,0,1,4420,0
hadoop,PR-2552,trunk,1,10070.0,1631319718.0,SUCCESS,a649de742c66e59bd4a29f7007a0cfbe310be78f,1345.5564,1711,0,60,2021-09-10,4d18a2eb9990cffd59f2961d0dd4696216bb8708,build_log,single,25382.098,1317.7110000000002,241,0,0,1711,0
hadoop,PR-3381,trunk,2,4706.0,1631536482.0,FAILURE,68f88a3bf9ed7abce69d0c1fb029a571740c2a64,126.355995,249,0,107,2021-09-13,17c58ac959015f69fffa912bcb30802e2d6272e9,build_log,single,1641.101,115.746,30,0,0,249,0
hadoop,PR-3391,branch-3.3.1,2,8543.0,1631540667.0,FAILURE,e0161043c1cdb86ea1f654c3e56c593b85cf6593,1437.815,4419,1,192,2021-09-13,a3b9c37a397ad4188041dd80621bdeefc46885f2,build_log,single,20928.297,1351.964,497,1,1,4419,1
hadoop,PR-3381,trunk,3,4873.0,1631551848.0,FAILURE,41d43efe5a1c185076f57d43b7ee87c5dcc7d6d8,120.80101,249,0,107,2021-09-13,17c58ac959015f69fffa912bcb30802e2d6272e9,build_log,single,1564.4029999999998,111.91,30,0,0,249,0
hadoop,PR-2611,trunk,6,35621.0,1632019340.0,FAILURE,2a38800976b4bf63f0595a3c303fab33c0c8408d,29519.914,12816,1,1096,2021-09-18,d6eb07724750dbf06d825b6bff999d121905be2b,build_log,single,465726.233,28131.578,1500,1,59,12816,1
hadoop,PR-3463,trunk,1,10381.0,1632145630.0,FAILURE,850a9265e447e5e0fad1608a8a672e451ce4a935,3083.4556,357,1,2,2021-09-20,f93e8fbf2d72ae2a4786a5cfee395013b68b145c,build_log,single,43012.127,2502.132,32,1,1,357,1
hadoop,PR-1710,trunk,1,12308.0,1632315037.0,FAILURE,9b673227e4fb7468e82795ae2c2c5fffb77a22e1,1460.3121,4533,0,174,2021-09-22,c7e7b2f907e86f169a75a9e0745f057500a7587e,build_log,single,22541.84,1370.0410000000002,505,0,0,4533,0
hadoop,PR-881,trunk,1,16036.0,1632708997.0,FAILURE,8b67a904d429eaf6c7f72a31d6e8f56cc7de961f,1726.5894,5483,1,180,2021-09-26,9d44f503dbf2f23faa162def60e46c5c8602cce6,build_log,single,25994.197,1630.869,652,1,1,5483,1
hadoop,PR-3415,trunk,2,7460.0,1632973468.0,SUCCESS,8272a94fbba930ee20de45e8341965cc87b8b4be,2263.7156,822,0,2,2021-09-29,7097e5b793de68880ace8413f3be3ccd9d6d7e3c,build_log,single,27837.79,1382.396,103,0,3,822,0
hadoop,PR-3502,trunk,1,13723.0,1632991748.0,FAILURE,d6be721378c0a0d75227b46e2309fe20900d1b89,1555.1085,4535,0,174,2021-09-30,7097e5b793de68880ace8413f3be3ccd9d6d7e3c,build_log,single,24929.819,1458.959,505,0,1,4535,0
hadoop,PR-1,trunk,1,5852.0,1633365326.0,FAILURE,bfcf11dbecc6d0363cfb1476cbd99823404357ad,253.675,317,0,0,2021-10-04,68c2accc20e032fc0da087fafeedadd0a3ecef01,build_log,single,1854.3240000000003,241.848,62,0,0,317,0
hadoop,PR-881,trunk,2,15576.0,1633564244.0,SUCCESS,8b67a904d429eaf6c7f72a31d6e8f56cc7de961f,1801.1476,5486,0,180,2021-10-06,e12cd0c6388550bc71b714bf937186a0346ff54c,build_log,single,26682.363,1695.976,653,0,0,5486,0
