project,pr_name,pr_base_branch,build_id,build_duration,build_timestamp,build_result,build_head_sha,ts_duration,passcount,failcount,skipcount,build_date,trunk_sha,trunk_sha_source,stage_id,stage_duration_by_suite_sum,stage_duration_by_method_sum,num_pass_class,num_fail_class,num_trans_class,num_pass_method,num_fail_method
karaf,PR-1419,main,1,4695.0,1629201464.0,SUCCESS,749f770bd6be340a33818bce61c640674d06cee6,1692.4467,871,0,39,2021-08-17,298c55317e96d104bee078e0651afbeaada50b5d,build_log,single,6965.846,896.11,217,0,0,871,0
karaf,PR-1420,main,1,4631.0,1629292869.0,SUCCESS,aab6805942b7f85bfa8d5725c35862a6f469840d,1628.1947,871,0,39,2021-08-18,dde7974af75a1850d9bd1cfd5245df0eee6e47be,build_log,single,6643.899999999999,870.582,217,0,0,871,0
karaf,PR-1421,main,2,6772.0,1629464111.0,SUCCESS,375e4667933146c9262b4ac472f01804c34a0b6c,2979.667,871,0,39,2021-08-20,dde7974af75a1850d9bd1cfd5245df0eee6e47be,build_log,single,13767.981,1662.8180000000002,217,0,0,871,0
karaf,PR-1422,main,1,4666.0,1629784428.0,SUCCESS,8692f8281ce281776b649c3ae49e79635f62cae5,1756.7555,871,0,39,2021-08-24,ba4e2b42a8204509a96b917ab3085a9d769d07fe,build_log,single,7068.4270008,971.9919999999998,217,0,0,871,0
karaf,PR-1424,main,1,5084.0,1629990451.0,SUCCESS,eb434212c9857cadd3fb1e9071dc1cbcb3154ff4,1980.4509,871,0,39,2021-08-26,0b55c1743e47fb39c5e6999270eb268855bf7902,build_log,single,9108.064,1096.768,217,0,0,871,0
karaf,PR-1423,main,2,5250.0,1629990501.0,FAILURE,abb5401fd7ff35adb17ac7e1a181417f882bd2b2,2201.5125,870,1,39,2021-08-26,0b55c1743e47fb39c5e6999270eb268855bf7902,build_log,single,9117.312,1188.917,216,1,1,870,1
karaf,PR-1423,main,3,5991.0,1630041143.0,SUCCESS,604a5547cc768c64bfe6db46cd78c8f70edcfb51,2265.1323,871,0,39,2021-08-27,1057da856f32bc9a0de263907046ae878c513ff5,build_log,single,9312.887,1234.008,217,0,1,871,0
karaf,PR-1425,main,1,4817.0,1630043123.0,SUCCESS,61bf0f64f4a9854ac995970bfa97b8258554c1a4,1780.5422,871,0,39,2021-08-27,532e395bc7ea392b95dd6b3adf8f40a62c3e0003,build_log,single,7402.375,952.477,217,0,0,871,0
karaf,PR-1426,main,2,5353.0,1630078218.0,FAILURE,1e5e314bcd2d2bfb8f3c2bf8c507a91adaef13a7,2643.611,867,4,39,2021-08-27,3c2ac2eb18eeb44174032cca3bbecb64b6c3d14e,build_log,single,10494.589000000002,1676.15,215,2,2,867,4
karaf,PR-1426,main,3,4664.0,1630298933.0,FAILURE,d037e5482427e87a72d9f3544fb05a462410765c,1918.5549,870,1,39,2021-08-30,3c2ac2eb18eeb44174032cca3bbecb64b6c3d14e,build_log,single,6733.563,1187.893,216,1,1,870,1
karaf,PR-1427,main,1,5935.0,1630344223.0,SUCCESS,f2b04f136bf19e0a0a110a279e378c719b62fc22,1655.0566,871,0,39,2021-08-30,3c2ac2eb18eeb44174032cca3bbecb64b6c3d14e,build_log,single,6815.544000000002,876.6500000000001,217,0,1,871,0
karaf,PR-1427,main,2,5776.0,1630352439.0,FAILURE,9a7186724b776ce8f9fa45c7d270e3a46d3b6fb9,2471.3708,870,1,39,2021-08-30,3c2ac2eb18eeb44174032cca3bbecb64b6c3d14e,build_log,single,9210.533,1514.489,216,1,1,870,1
karaf,PR-1427,main,3,5348.0,1630386200.0,FAILURE,8cc2b247d0ae8b2c95439cf5a45118b8f0eb3b47,2319.8765,870,1,39,2021-08-31,3c2ac2eb18eeb44174032cca3bbecb64b6c3d14e,build_log,single,9715.962998399998,1284.653,216,1,2,870,1
karaf,PR-1429,main,1,5925.0,1630523401.0,SUCCESS,c664255e7b2d6db97760845b5ad50ba48d4ac0a6,2219.6724,891,0,39,2021-09-01,82648cbc9159467253afc80de60e4cb5cab098a5,build_log,single,9854.794,1179.301,218,0,1,891,0
karaf,PR-1430,karaf-4.2.x,3,4531.0,1631276853.0,SUCCESS,0741477bd44519130185aa702e9eac317dbd624f,1625.5385,947,0,34,2021-09-10,f5757dabc82c345b51e9af9dd72f8483a4592fac,build_log,single,8339.490998399999,880.746,214,0,0,947,0
karaf,PR-1431,main,1,4888.0,1631280619.0,SUCCESS,790d663c0b11c0ed1c19db5c1d81932ca5f2d226,1755.6545,891,0,39,2021-09-10,33c378ca835325d1a199445655682f5e5f619a68,build_log,single,7336.2289992,890.677,218,0,0,891,0
karaf,PR-1432,main,1,4617.0,1631281080.0,SUCCESS,cf178182c0dea5e07a04ae8663fed7c6dd14d5ca,1574.2893,891,0,39,2021-09-10,33c378ca835325d1a199445655682f5e5f619a68,build_log,single,6791.771000000001,882.662,218,0,0,891,0
karaf,PR-1433,main,1,4600.0,1631281090.0,SUCCESS,1eddb18aa3fa3ed22caa10312a710702abe5a9cf,1610.4662,891,0,39,2021-09-10,33c378ca835325d1a199445655682f5e5f619a68,build_log,single,7038.485,851.117,218,0,0,891,0
karaf,PR-1434,main,1,4740.0,1631281459.0,SUCCESS,b7f4509a0973c6d328cc0d8610d6e33fc8f4bfd5,1623.7446,891,0,39,2021-09-10,33c378ca835325d1a199445655682f5e5f619a68,build_log,single,7007.272,873.246,218,0,0,891,0
karaf,PR-1435,karaf-4.2.x,1,5108.0,1631282476.0,SUCCESS,658f047a334b294d08f093cc88eaf40465801540,2234.7017,947,0,34,2021-09-10,e8cf0ea62c8a9361768e93039ae094e429ee38e1,build_log,single,16636.735999999997,1224.229,214,0,0,947,0
karaf,PR-1436,karaf-4.2.x,1,4725.0,1631381671.0,FAILURE,ecce69c7ff081c8c121f178c1b1dc11d8b95223a,1855.37,945,2,34,2021-09-11,eceb876738b656060c002f471523f1d62a934b38,build_log,single,7986.574,1168.6160000000002,212,2,2,945,2
karaf,PR-1437,karaf-4.2.x,1,4411.0,1631382246.0,SUCCESS,9b0c205ce80127d1f769490e9f86ab6641e2299a,1574.5663,947,0,34,2021-09-11,eceb876738b656060c002f471523f1d62a934b38,build_log,single,7950.725998399999,859.7010000000001,214,0,2,947,0
karaf,PR-1438,karaf-4.2.x,1,4448.0,1631382420.0,SUCCESS,b5faa255515c5f702afb77b35c1c3688196f0922,1567.6942,947,0,34,2021-09-11,eceb876738b656060c002f471523f1d62a934b38,build_log,single,7933.130000000001,838.477,214,0,0,947,0
karaf,PR-1439,karaf-4.2.x,1,4292.0,1631382581.0,SUCCESS,9f84e644751d43f969c57ac7ee33a28dc527672f,1435.7445,947,0,34,2021-09-11,eceb876738b656060c002f471523f1d62a934b38,build_log,single,7352.2609984,809.289,214,0,0,947,0
karaf,PR-1436,karaf-4.2.x,2,4416.0,1631424797.0,SUCCESS,3c333ba03f67f6f089cdc415a10d336de4a71ddc,1591.1553,947,0,34,2021-09-12,eceb876738b656060c002f471523f1d62a934b38,build_log,single,8013.375,867.2370000000001,214,0,0,947,0
karaf,PR-1440,main,1,838.0,1632490928.0,FAILURE,6276609287a563c4ee41517b8f345b1e10ca6fd5,297.24115,622,0,33,2021-09-24,aedad90e165bb920620fe0a70f991702289c0271,build_log,single,1510.1060000000002,93.957,142,0,0,622,0
karaf,PR-1441,main,1,5924.0,1632750560.0,SUCCESS,e03d9ac10eda16a78056c59f1c95c27ec1b71892,2172.5222,891,0,39,2021-09-27,aedad90e165bb920620fe0a70f991702289c0271,build_log,single,9571.817,1190.0959999999998,218,0,0,891,0
